time,distance,material,density
0.001160,0.29,carbon dioxide,1.79
0.001120,0.29,carbon dioxide,1.79
0.001110,0.29,carbon dioxide,1.79
0.001070,0.29,carbon dioxide,1.79
0.001090,0.29,carbon dioxide,1.79
0.000960,0.25,carbon dioxide,1.79
0.000940,0.25,carbon dioxide,1.79
0.000940,0.25,carbon dioxide,1.79
0.000930,0.25,carbon dioxide,1.79
0.000970,0.25,carbon dioxide,1.79
0.000660,0.17,carbon dioxide,1.79
0.000650,0.17,carbon dioxide,1.79
0.000640,0.17,carbon dioxide,1.79
0.000660,0.17,carbon dioxide,1.79
0.000670,0.17,carbon dioxide,1.79
0.001260,0.32,carbon dioxide,1.79
0.001240,0.32,carbon dioxide,1.79
0.001200,0.32,carbon dioxide,1.79
0.001220,0.32,carbon dioxide,1.79
0.001200,0.32,carbon dioxide,1.79
0.00053,0.82,plastic,1524.704355
0.00056,0.82,plastic,1524.704355
0.00058,0.82,plastic,1524.704355
0.00060,0.82,plastic,1524.704355
0.00056,0.82,plastic,1524.704355
0.00042,0.60,plastic,1524.704355
0.00041,0.60,plastic,1524.704355
0.00042,0.60,plastic,1524.704355
0.00040,0.60,plastic,1524.704355
0.00042,0.60,plastic,1524.704355
0.00028,0.40,plastic,1524.704355
0.00023,0.40,plastic,1524.704355
0.00028,0.40,plastic,1524.704355
0.00029,0.40,plastic,1524.704355
0.00027,0.40,plastic,1524.704355
0.00013,0.20,plastic,1524.704355
0.00014,0.20,plastic,1524.704355
0.00013,0.20,plastic,1524.704355
0.00014,0.20,plastic,1524.704355
0.00014,0.20,plastic,1524.704355
0.000208,0.30,water,997.77
0.000168,0.30,water,997.77
0.000178,0.30,water,997.77
0.000180,0.30,water,997.77
0.000190,0.30,water,997.77
0.000214,0.35,water,997.77
0.000218,0.35,water,997.77
0.000212,0.35,water,997.77
0.000218,0.35,water,997.77
0.000216,0.35,water,997.77
0.000240,0.40,water,997.77
0.000232,0.40,water,997.77
0.000242,0.40,water,997.77
0.000238,0.40,water,997.77
0.000246,0.40,water,997.77
